
---------- Begin Simulation Statistics ----------
simSeconds                                   0.279972                       # Number of seconds simulated (Second)
simTicks                                 279971790000                       # Number of ticks simulated (Tick)
finalTick                                279971790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38057.43                       # Real time elapsed on the host (Second)
hostTickRate                                  7356561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10449760                       # Number of bytes of host memory used (Byte)
simInsts                                   3195112368                       # Number of instructions simulated (Count)
simOps                                     6091087680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160050                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       559126202                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385401329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    2068                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     392393672                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 24163                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4710417                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5516167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                337                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          554981938                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.707039                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.579813                       # Number of insts issued each cycle (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCmp            0      0.00%     77.31% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCvt       308595      0.08%     77.39% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatDiv       308563      0.08%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMisc            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMult           55      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceAdd            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceAlu            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceCmp            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAes            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAesMix            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha1Hash            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha256Hash            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShaSigma2            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShaSigma3            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdPredAlu            0      0.00%     77.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::MemRead     52980594     13.92%     91.39% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::MemWrite     29856471      7.84%     99.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMemRead      1769073      0.46%     99.70% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMemWrite      1148944      0.30%    100.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::total    380692980                       # Class of committed instruction (Count)
system.cpu0.commit.commitEligibleSamples     37344055                       # number cycles where commit BW limit reached (Cycle)
system.cpu0.dcache.demandHits::cpu00.data     50324214                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.demandHits::total         50324214                       # number of demand (read+write) hits (Count)
system.cpu0.dcache.overallHits::cpu00.data     50324215                       # number of overall hits (Count)
system.cpu0.dcache.overallHits::total        50324215                       # number of overall hits (Count)
system.cpu0.dcache.demandMisses::cpu00.data     15163952                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.demandMisses::total       15163952                       # number of demand (read+write) misses (Count)
system.cpu0.dcache.overallMisses::cpu00.data     15163955                       # number of overall misses (Count)
system.cpu0.dcache.overallMisses::total      15163955                       # number of overall misses (Count)
system.cpu0.dcache.demandMissLatency::cpu00.data 853597633080                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.demandMissLatency::total 853597633080                       # number of demand (read+write) miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::cpu00.data 853597633080                       # number of overall miss ticks (Tick)
system.cpu0.dcache.overallMissLatency::total 853597633080                       # number of overall miss ticks (Tick)
system.cpu0.dcache.demandAccesses::cpu00.data     65488166                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.demandAccesses::total     65488166                       # number of demand (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::cpu00.data     65488170                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.overallAccesses::total     65488170                       # number of overall (read+write) accesses (Count)
system.cpu0.dcache.demandMissRate::cpu00.data     0.231553                       # miss rate for demand accesses (Ratio)
system.cpu0.dcache.demandMissRate::total     0.231553                       # miss rate for demand accesses (Ratio)
system.cpu0.dcache.overallMissRate::cpu00.data     0.231553                       # miss rate for overall accesses (Ratio)
system.cpu0.dcache.overallMissRate::total     0.231553                       # miss rate for overall accesses (Ratio)
system.cpu0.dcache.demandAvgMissLatency::cpu00.data 56291.238134                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.demandAvgMissLatency::total 56291.238134                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.overallAvgMissLatency::cpu00.data 56291.226997                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.overallAvgMissLatency::total 56291.226997                       # average overall miss latency ((Cycle/Count))
system.cpu0.dcache.blockedCycles::no_mshrs    102554641                       # number of cycles access was blocked (Cycle)
system.cpu0.dcache.blockedCycles::no_targets         4513                       # number of cycles access was blocked (Cycle)
system.cpu0.dcache.blockedCauses::no_mshrs      2961608                       # number of times access was blocked (Count)
system.cpu0.dcache.blockedCauses::no_targets           57                       # number of times access was blocked (Count)
system.cpu0.dcache.avgBlocked::no_mshrs     34.628027                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu0.dcache.avgBlocked::no_targets    79.175439                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu0.dcache.writebacks::writebacks      4257573                       # number of writebacks (Count)
system.cpu0.dcache.writebacks::total          4257573                       # number of writebacks (Count)
system.cpu0.dcache.demandMshrHits::cpu00.data      5216783                       # number of demand (read+write) MSHR hits (Count)
system.cpu0.dcache.demandMshrHits::total      5216783                       # number of demand (read+write) MSHR hits (Count)
system.cpu0.dcache.overallMshrHits::cpu00.data      5216783                       # number of overall MSHR hits (Count)
system.cpu0.dcache.overallMshrHits::total      5216783                       # number of overall MSHR hits (Count)
system.cpu0.dcache.demandMshrMisses::cpu00.data      9947169                       # number of demand (read+write) MSHR misses (Count)
system.cpu0.dcache.demandMshrMisses::total      9947169                       # number of demand (read+write) MSHR misses (Count)
system.cpu0.dcache.overallMshrMisses::cpu00.data      9947170                       # number of overall MSHR misses (Count)
system.cpu0.dcache.overallMshrMisses::total      9947170                       # number of overall MSHR misses (Count)
system.cpu0.dcache.demandMshrMissLatency::cpu00.data 603043417308                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu0.dcache.demandMshrMissLatency::total 603043417308                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrMissLatency::cpu00.data 603043429308                       # number of overall MSHR miss ticks (Tick)
system.cpu0.dcache.overallMshrMissLatency::total 603043429308                       # number of overall MSHR miss ticks (Tick)
system.cpu0.dcache.demandMshrMissRate::cpu00.data     0.151893                       # mshr miss ratio for demand accesses (Ratio)
system.cpu0.dcache.demandMshrMissRate::total     0.151893                       # mshr miss ratio for demand accesses (Ratio)
system.cpu0.dcache.overallMshrMissRate::cpu00.data     0.151893                       # mshr miss ratio for overall accesses (Ratio)
system.cpu0.dcache.overallMshrMissRate::total     0.151893                       # mshr miss ratio for overall accesses (Ratio)
system.cpu0.dcache.demandAvgMshrMissLatency::cpu00.data 60624.627701                       # average overall mshr miss latency ((Cycle/Count))
system.cpu0.dcache.demandAvgMshrMissLatency::total 60624.627701                       # average overall mshr miss latency ((Cycle/Count))
system.cpu0.dcache.overallAvgMshrMissLatency::cpu00.data 60624.622813                       # average overall mshr miss latency ((Cycle/Count))
system.cpu0.dcache.overallAvgMshrMissLatency::total 60624.622813                       # average overall mshr miss latency ((Cycle/Count))
system.cpu0.dcache.replacements               9947144                       # number of replacements (Count)
system.cpu0.dcache.ReadReq.hits::cpu00.data     21957059                       # number of ReadReq hits (Count)
system.cpu0.dcache.ReadReq.hits::total       21957059                       # number of ReadReq hits (Count)
system.cpu0.dcache.ReadReq.misses::cpu00.data     12525678                       # number of ReadReq misses (Count)
system.cpu0.dcache.ReadReq.misses::total     12525678                       # number of ReadReq misses (Count)
system.cpu0.dcache.ReadReq.missLatency::cpu00.data 675964860000                       # number of ReadReq miss ticks (Tick)
system.cpu0.dcache.ReadReq.missLatency::total 675964860000                       # number of ReadReq miss ticks (Tick)
system.cpu0.dcache.ReadReq.accesses::cpu00.data     34482737                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu0.dcache.ReadReq.accesses::total     34482737                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu0.dcache.ReadReq.missRate::cpu00.data     0.363245                       # miss rate for ReadReq accesses (Ratio)
system.cpu0.dcache.ReadReq.missRate::total     0.363245                       # miss rate for ReadReq accesses (Ratio)
system.cpu0.dcache.ReadReq.avgMissLatency::cpu00.data 53966.329008                       # average ReadReq miss latency ((Tick/Count))
system.cpu0.dcache.ReadReq.avgMissLatency::total 53966.329008                       # average ReadReq miss latency ((Tick/Count))
system.cpu0.dcache.ReadReq.mshrHits::cpu00.data      5141191                       # number of ReadReq MSHR hits (Count)
system.cpu0.dcache.ReadReq.mshrHits::total      5141191                       # number of ReadReq MSHR hits (Count)
system.cpu0.dcache.ReadReq.mshrMisses::cpu00.data      7384487                       # number of ReadReq MSHR misses (Count)
system.cpu0.dcache.ReadReq.mshrMisses::total      7384487                       # number of ReadReq MSHR misses (Count)
system.cpu0.dcache.ReadReq.mshrMissLatency::cpu00.data 429873737000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu0.dcache.ReadReq.mshrMissLatency::total 429873737000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu0.dcache.ReadReq.mshrMissRate::cpu00.data     0.214150                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu0.dcache.ReadReq.mshrMissRate::total     0.214150                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu0.dcache.ReadReq.avgMshrMissLatency::cpu00.data 58213.080611                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu0.dcache.ReadReq.avgMshrMissLatency::total 58213.080611                       # average ReadReq mshr miss latency ((Tick/Count))
